Case_,Age_group,rolling sum,Hospitalized,died_daily,died_ratio
2020-08-20,0-9,1.8571428571428572,1.8571428571428572,250.14285714285714,0.0074243289548829245
2020-08-20,10-19,2.7142857142857144,2.7142857142857144,250.14285714285714,0.010850942318675044
2020-08-20,20-29,8.142857142857142,8.142857142857142,250.14285714285714,0.03255282695602513
2020-08-20,30-39,15.428571428571429,15.428571428571429,250.14285714285714,0.06167904054825814
2020-08-20,40-49,21.285714285714285,21.285714285714285,250.14285714285714,0.08509423186750428
2020-08-20,50-59,33.857142857142854,33.857142857142854,250.14285714285714,0.13535122786978868
2020-08-20,60-69,47.857142857142854,47.857142857142854,250.14285714285714,0.19131924614505996
2020-08-20,70-79,52.0,52.0,250.14285714285714,0.2078812107367219
2020-08-20,80+,67.0,67.0,250.14285714285714,0.26784694460308395
2020-08-21,0-9,1.8571428571428572,1.8571428571428572,237.71428571428572,0.0078125
2020-08-21,10-19,2.5714285714285716,2.5714285714285716,237.71428571428572,0.010817307692307692
2020-08-21,20-29,6.857142857142857,6.857142857142857,237.71428571428572,0.028846153846153844
2020-08-21,30-39,14.142857142857142,14.142857142857142,237.71428571428572,0.059495192307692304
2020-08-21,40-49,20.0,20.0,237.71428571428572,0.08413461538461538
2020-08-21,50-59,33.42857142857143,33.42857142857143,237.71428571428572,0.140625
2020-08-21,60-69,44.0,44.0,237.71428571428572,0.18509615384615383
2020-08-21,70-79,50.857142857142854,50.857142857142854,237.71428571428572,0.21394230769230768
2020-08-21,80+,64.0,64.0,237.71428571428572,0.2692307692307692
2020-08-22,0-9,1.8571428571428572,1.8571428571428572,237.42857142857142,0.007821901323706379
2020-08-22,10-19,1.8571428571428572,1.8571428571428572,237.42857142857142,0.007821901323706379
2020-08-22,20-29,7.142857142857143,7.142857142857143,237.42857142857142,0.030084235860409148
2020-08-22,30-39,14.142857142857142,14.142857142857142,237.42857142857142,0.05956678700361011
2020-08-22,40-49,18.857142857142858,18.857142857142858,237.42857142857142,0.07942238267148015
2020-08-22,50-59,34.285714285714285,34.285714285714285,237.42857142857142,0.1444043321299639
2020-08-22,60-69,42.42857142857143,42.42857142857143,237.42857142857142,0.17870036101083034
2020-08-22,70-79,52.714285714285715,52.714285714285715,237.42857142857142,0.2220216606498195
2020-08-22,80+,64.14285714285714,64.14285714285714,237.42857142857142,0.2701564380264741
2020-08-23,0-9,1.8571428571428572,1.8571428571428572,236.42857142857142,0.00785498489425982
2020-08-23,10-19,2.142857142857143,2.142857142857143,236.42857142857142,0.00906344410876133
2020-08-23,20-29,7.714285714285714,7.714285714285714,236.42857142857142,0.03262839879154079
2020-08-23,30-39,14.428571428571429,14.428571428571429,236.42857142857142,0.06102719033232629
2020-08-23,40-49,18.428571428571427,18.428571428571427,236.42857142857142,0.07794561933534742
2020-08-23,50-59,34.42857142857143,34.42857142857143,236.42857142857142,0.14561933534743204
2020-08-23,60-69,42.42857142857143,42.42857142857143,236.42857142857142,0.17945619335347435
2020-08-23,70-79,51.42857142857143,51.42857142857143,236.42857142857142,0.21752265861027192
2020-08-23,80+,63.57142857142857,63.57142857142857,236.42857142857142,0.2688821752265861
2020-08-24,0-9,1.8571428571428572,1.8571428571428572,231.0,0.008039579468150896
2020-08-24,10-19,2.5714285714285716,2.5714285714285716,231.0,0.011131725417439705
2020-08-24,20-29,7.571428571428571,7.571428571428571,231.0,0.03277674706246135
2020-08-24,30-39,14.285714285714286,14.285714285714286,231.0,0.06184291898577613
2020-08-24,40-49,17.571428571428573,17.571428571428573,231.0,0.07606679035250465
